Name,Firm,Completeness %,Missing Count,Missing Fields,ID,Has Bio,Has Sectors,Has Stage,Has URL,Has LinkedIn,LinkedIn URL,Website URL
"diverse as the (Lsvp)","diverse as the (Lsvp)",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",3a07198e-88a4-4d43-9602-847675eeac12,Yes,Yes,No,No,No,"",""
"Divya Dhulipala","Divya Dhulipala",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",b2407fe1-03da-47f3-b3f7-67ac65897759,Yes,Yes,No,No,No,"",""
"Earl Jones Operating (Dcvc)","Earl Jones Operating (Dcvc)",35,8,"investment_thesis; firm_description_normalized; stage; check_size; geography_focus; notable_investments; url; linkedin_url",9a2572f4-30f8-4409-8e8e-e28ea7c953d3,Yes,Yes,No,No,No,"",""
"AiSprouts.vc","AiSprouts.vc",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",e58ca9c0-9830-4b23-abaa-9e221dc3edd4,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aisprouts-vc",""
"Alan Cohen","Alan Cohen",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",53c4ab39-8b3c-4642-b590-d365f5b245cb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alan-cohen",""
"Alex Brussell (Forerunner Ventures)","Alex Brussell (Forerunner Ventures)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",5b7a7df3-70f4-4b33-be7d-1a57b2d34cb3,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-brussell",""
"Alex Walter","Alex Walter",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",64423c23-b24f-4bae-a7a1-5402cc622fb6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alex-walter",""
"Ali Tamaseb","Ali Tamaseb",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",fa8e53bb-9a0f-4c00-97ea-e9752504dcdc,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ali-tamaseb",""
"Alli London (Ribbit Capital)","Alli London (Ribbit Capital)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",a21ce935-8cde-4259-ac14-a84930fccd37,No,Yes,Yes,No,Yes,"https://linkedin.com/in/alli-london",""
"Allyson Kaufman","Allyson Kaufman",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",996f89d2-6d42-405c-a366-f44b63b76a1f,No,Yes,Yes,No,Yes,"https://linkedin.com/in/allyson-kaufman",""
"Amrit Rao","Amrit Rao",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",5c984fc5-61a9-4c8d-b147-dbbe479599af,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amrit-rao",""
"Amrit Rao (Village Global)","Amrit Rao (Village Global)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",88b04a0c-c0b9-4170-a086-f05bb4d68bff,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amrit-rao",""
"Amy Hawkins-Leong (Ribbit Capital)","Amy Hawkins-Leong (Ribbit Capital)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",516c4559-edb9-48dc-8f4f-2a1bd1c52509,No,Yes,Yes,No,Yes,"https://linkedin.com/in/amy-hawkins-leong",""
"Anna Nguyen (Ribbit Capital)","Anna Nguyen (Ribbit Capital)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",de8bb59c-b217-4145-a40a-05915e61820d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anna-nguyen",""
"Anne Dwane","Anne Dwane",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",545c10fc-8fb5-42a8-9693-6fa98963a8aa,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anne-dwane",""
"Anthony Perez (Forerunner Ventures)","Anthony Perez (Forerunner Ventures)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",16f8d6d4-9a23-440b-890d-6169caba9fd9,No,Yes,Yes,No,Yes,"https://linkedin.com/in/anthony-perez",""
"Ari Nowacek (Arch Venture Partners)","Ari Nowacek (Arch Venture Partners)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",f8725ba0-1906-42de-87fb-8c94bd53f079,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ari-nowacek",""
"Ben Casnocha","Ben Casnocha",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",ec803ece-38e6-41f8-a65f-a4a5f9d8b236,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-casnocha",""
"Ben Casnocha (Village Global)","Ben Casnocha (Village Global)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",ecf7e15d-9fcc-44ca-8cef-2a5f3f2f7e3b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-casnocha",""
"Ben Lerer (Lerer Hippeau)","Ben Lerer (Lerer Hippeau)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",c580f5d2-1fa0-4342-81d4-d01b121148be,No,Yes,Yes,No,Yes,"https://linkedin.com/in/ben-lerer",""
"Brett Bolkowy (Village Global)","Brett Bolkowy (Village Global)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",2de69ab0-b7ec-45ce-9b0d-899f003097e7,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brett-bolkowy",""
"Brian O'Malley (Forerunner Ventures)","Brian O'Malley (Forerunner Ventures)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",e50bd1b0-c0a6-4947-b975-b4561cef5f62,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brian-o-malley",""
"Brighton Park Capital","Brighton Park Capital",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",efa42b67-957b-4698-a258-30bbaeaddd5c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/brighton-park-capital",""
"Cabot Global Investments","Cabot Global Investments",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",41445f25-d529-4338-9a52-a4f8ec21dba1,No,Yes,Yes,No,Yes,"https://linkedin.com/in/cabot-global-investments",""
"Chicago Ventures","Chicago Ventures",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",e542ee04-8217-4a20-a9aa-0284386678c5,No,Yes,Yes,No,Yes,"https://linkedin.com/in/chicago-ventures",""
"Clinton Bybee (Arch Venture Partners)","Clinton Bybee (Arch Venture Partners)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",ed236a12-2b52-4d8c-bdf1-f9c9487c4be4,No,Yes,Yes,No,Yes,"https://linkedin.com/in/clinton-bybee",""
"Contrarian Ventures","Contrarian Ventures",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",c47ba5d4-d985-4b93-8ef6-399a4586af50,No,Yes,Yes,No,Yes,"https://linkedin.com/in/contrarian-ventures",""
"Dan Robinson","Dan Robinson",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",bf31faba-f85e-413b-8c2f-a31912763f75,No,Yes,Yes,No,Yes,"https://linkedin.com/in/dan-robinson",""
"Dan Rochkind (Lerer Hippeau)","Dan Rochkind (Lerer Hippeau)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",823b2eed-2bd1-4388-807f-dca039e68831,No,Yes,Yes,No,Yes,"https://linkedin.com/in/dan-rochkind",""
"Dave White","Dave White",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",7fa24f8a-7d34-40a1-a35a-e5bebbc010d7,No,Yes,Yes,No,Yes,"https://linkedin.com/in/dave-white",""
"Decibel Partners","Decibel Partners",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",8b373718-07b4-4ec2-b571-3952440b200c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/decibel-partners",""
"Deerfield","Deerfield",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",45eebbc1-f12e-4b4f-adcb-cb7a4e6f6968,No,Yes,Yes,No,Yes,"https://linkedin.com/in/deerfield",""
"Denise Gilbert (Ribbit Capital)","Denise Gilbert (Ribbit Capital)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",5806af86-ae09-41ba-83c7-0f6abf9264f9,No,Yes,Yes,No,Yes,"https://linkedin.com/in/denise-gilbert",""
"Dr. Linda Maxwell","Dr. Linda Maxwell",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",70ef3e1c-65b3-4caf-8ae6-3f589322a5eb,No,Yes,Yes,No,Yes,"https://linkedin.com/in/dr-linda-maxwell",""
"Dr. Prineha Narang","Dr. Prineha Narang",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",82535318-7e41-4c9e-bca7-8e321d0cfe66,No,Yes,Yes,No,Yes,"https://linkedin.com/in/dr-prineha-narang",""
"Dr. Rachel Slaybaugh","Dr. Rachel Slaybaugh",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",c22dc490-8bdf-4af7-9bba-2b26223225fd,No,Yes,Yes,No,Yes,"https://linkedin.com/in/dr-rachel-slaybaugh",""
"Eric Hippeau (Lerer Hippeau)","Eric Hippeau (Lerer Hippeau)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",07e981cc-0580-4e40-9096-e8bc0ed850a5,No,Yes,Yes,No,Yes,"https://linkedin.com/in/eric-hippeau",""
"Erik Pavia (Village Global)","Erik Pavia (Village Global)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",92fe1704-7d40-4ca2-a0f9-566cd744f616,No,Yes,Yes,No,Yes,"https://linkedin.com/in/erik-pavia",""
"Erik Torenberg (Village Global)","Erik Torenberg (Village Global)",39,6,"bio; investment_thesis; firm_description_normalized; check_size; notable_investments; url",bce1bd4d-0abf-4786-aaf7-4a1479a975e6,No,Yes,Yes,No,Yes,"https://linkedin.com/in/erik-torenberg",""
"about angel capital","about angel capital",40,7,"investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",5f7fde71-1768-40d4-9eab-910cdd2e44a8,Yes,Yes,Yes,No,No,"",""
"ago Butterfly Equity","ago Butterfly Equity",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",ef4491c4-adc0-49db-9722-dc779ee503fc,No,Yes,Yes,No,No,"",""
"ai Antoine Moyroud (Lsvp)","ai Antoine Moyroud (Lsvp)",40,7,"investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",a86c4442-5d2f-4bc4-ac38-47ccd1bc24f0,Yes,Yes,Yes,No,No,"",""
"Alpin Yuksekoglu","Alpin Yuksekoglu",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",963bb86e-2915-4d16-beeb-84ef395b90e5,No,Yes,Yes,No,No,"",""
"Anuja Kale","Anuja Kale",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",cd04ea95-ce7c-472b-ba5c-704db75915cc,No,Yes,Yes,No,No,"",""
"Bessemer","Bessemer",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",1ac44c3b-d643-4b95-8be6-7968ef3f7361,No,Yes,Yes,No,No,"",""
"Beth Teplitsky","Beth Teplitsky",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",20a80296-22a6-4696-90a2-6e6cdfa69205,No,Yes,Yes,No,No,"",""
"Bezos PlaybookThe management","Bezos PlaybookThe management",40,7,"bio; investment_thesis; check_size; geography_focus; notable_investments; url; linkedin_url",cf387bf6-8e80-458d-862e-622487a67dec,No,Yes,Yes,No,No,"",""
"Brad Gerstner","Brad Gerstner",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",ff523564-abc7-423f-a0e3-58e1fcc93a1e,No,Yes,Yes,No,No,"",""
"Cloud Consumer The (Bvp)","Cloud Consumer The (Bvp)",40,7,"investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",7d62c47a-0afa-4c51-ae25-834dec2c663a,Yes,Yes,Yes,No,No,"",""
"collaborate closely with (Playground)","collaborate closely with (Playground)",40,7,"investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",68a3edc8-2e41-4cb2-808d-b078908d90f0,Yes,Yes,Yes,No,No,"",""
"David Puth","David Puth",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",03f6ef3a-db39-4cd6-9097-d866954a9c5f,No,Yes,Yes,No,No,"",""
"Enterprise Six (Bvp)","Enterprise Six (Bvp)",40,7,"investment_thesis; firm_description_normalized; check_size; geography_focus; notable_investments; url; linkedin_url",47334c7a-98d0-4ffc-9bf2-365310e2ef85,Yes,Yes,Yes,No,No,"",""
"Erin Glenn","Erin Glenn",40,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",5264fe24-3864-4ab0-95ad-f4eb9aadd9ac,No,Yes,Yes,No,No,"",""
"Daybreak Capital","Daybreak Capital",41,7,"bio; investment_thesis; firm_description_normalized; geography_focus; notable_investments; url; linkedin_url",8c8918c2-84cb-478b-854b-e7f41a96a4e4,No,Yes,Yes,No,No,"",""
"Anik Debnath","Anik Debnath",45,7,"investment_thesis; stage; check_size; geography_focus; notable_investments; url; linkedin_url",0ef8fd0b-58b8-4f93-b44e-12eb98b40f98,Yes,Yes,No,No,No,"",""
"Equity and Francisco (Pehub)","Equity and Francisco (Pehub)",45,7,"investment_thesis; stage; check_size; geography_focus; notable_investments; url; linkedin_url",6accd665-9144-4d2a-8407-ed566e377a81,Yes,Yes,No,No,No,"",""
"122WEST Ventures","122WEST Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",767fd856-3ecd-4cb9-8f72-cc256a0b6529,No,Yes,Yes,No,Yes,"https://linkedin.com/in/122west-ventures",""
"1Up Ventures","1Up Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",7c010497-ceea-4a7e-af32-879f799c8a96,No,Yes,Yes,No,Yes,"https://linkedin.com/in/1up-ventures",""
"406 Ventures","406 Ventures",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",f7683f77-2b82-49a4-9e80-fd3db3883895,No,Yes,Yes,No,Yes,"https://linkedin.com/in/406-ventures",""
"500 Global","500 Global",49,5,"investment_thesis; firm_description_normalized; check_size; notable_investments; url",aeea1551-39f0-44d7-a1be-aecbb3d31196,Yes,Yes,Yes,No,Yes,"https://500.co",""
"7BC Venture Capital","7BC Venture Capital",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",8581e7da-103e-4571-90f7-cb37bdabbf9c,No,Yes,Yes,No,Yes,"https://linkedin.com/in/7bc-venture-capital",""
"Aaron Frank","Aaron Frank",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e7745170-b829-4946-a6be-cfb4ef3409f2,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aaron-frank",""
"Aaron Katz","Aaron Katz",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",af1916ed-f29a-4c2f-b19e-d2eb34ea408b,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aaron-katz",""
"Abdul Ly","Abdul Ly",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",e5ee60c3-38de-408f-86de-2485518db35f,No,Yes,Yes,No,Yes,"https://linkedin.com/in/abdul-ly",""
"Abhinav Chaturvedi","Abhinav Chaturvedi",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",eda829c1-fc15-4781-93c1-0e5207cf9351,No,Yes,Yes,No,Yes,"https://linkedin.com/in/abhinav-chaturvedi",""
"Abstraction Capital","Abstraction Capital",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",0063ebab-8d68-46fd-acc4-80dbfb57e095,No,Yes,Yes,No,Yes,"https://linkedin.com/in/abstraction-capital",""
"ACA Our Partners","ACA Our Partners",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",42f2420a-b787-4bdb-abb8-38c9756a07cd,No,Yes,Yes,No,Yes,"https://linkedin.com/in/aca-our-partners",""
"Account Management","Account Management",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",68e731a3-045a-4bcd-8166-471cfe453e7d,No,Yes,Yes,No,Yes,"https://linkedin.com/in/account-management",""
"Account Management","Account Management",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",a64f1c55-6fab-41b1-a1c8-cb79d87e0d76,No,Yes,Yes,No,Yes,"https://linkedin.com/in/account-management",""
"Achal Srinivasan","Achal Srinivasan",49,5,"bio; investment_thesis; firm_description_normalized; notable_investments; url",17a053df-3e53-46ef-b948-d0307e903cb3,No,Yes,Yes,No,Yes,"https://linkedin.com/in/achal-srinivasan",""
"Acrobator Ventures","Acrobator Ventures",49,5,"bio; firm_description_normalized; check_size; notable_investments; url",8a4ebcb9-03c9-411f-b22f-677aeec48986,No,Yes,Yes,No,Yes,"https://linkedin.com/in/acrobator-ventures",""
