Name,Firm,ID,Missing URL,Missing Value Prop,Missing Notable,LinkedIn,Bio,Sectors,Stage
"About ACA Our (Angelcapitalassociation)","About ACA Our (Angelcapitalassociation)",c29e562e-7e72-4dd9-958e-54a2b6b1d6bd,YES,YES,NO,"https://linkedin.com/in/about-aca-our","","AI; SaaS; HealthTech","Seed; Series A"
"About ACA Our (Angelcapitalassociation)","About ACA Our (Angelcapitalassociation)",55487b06-3f4d-4e92-8969-cf984c4fbf1e,YES,YES,NO,"https://linkedin.com/in/about-aca-our","","AI; SaaS; HealthTech","Seed; Series A"
"about angel capital","about angel capital",5f7fde71-1768-40d4-9eab-910cdd2e44a8,YES,YES,YES,"","Discovered from: https://angelcapitalassociation.org/","Technology","Seed; Series A"
"About Taking the (Firstround)","About Taking the (Firstround)",9404a3ff-d869-489b-824e-9d87bb4b286b,YES,YES,NO,"https://linkedin.com/in/about-taking-the","","AI; SaaS; HealthTech","Seed; Series A"
"About Taking the (Firstround)","About Taking the (Firstround)",38affff6-6092-4a4a-92cb-d73c3ba16df1,YES,YES,NO,"https://linkedin.com/in/about-taking-the","","AI; SaaS; HealthTech","Seed; Series A"
"About Venture Capital","About Venture Capital",587e4e17-ffa8-4bd4-9dc6-9521016ecf0a,YES,YES,NO,"https://linkedin.com/in/about-venture-capital","","AI; SaaS; HealthTech","Seed; Series A"
"About Venture Capital","About Venture Capital",f66d4ba0-cfa9-4c94-b107-9fed52b23032,YES,YES,NO,"https://linkedin.com/in/about-venture-capital","","AI; SaaS; HealthTech","Seed; Series A"
"Abstraction Capital","Abstraction Capital",0063ebab-8d68-46fd-acc4-80dbfb57e095,YES,YES,YES,"https://linkedin.com/in/abstraction-capital","","Focused on developer tools and software infrastructure","Seed"
"ACA Our Partners","ACA Our Partners",42f2420a-b787-4bdb-abb8-38c9756a07cd,YES,YES,YES,"https://linkedin.com/in/aca-our-partners","","SaaS; AI/ML","Seed; Series A"
"access additional capital","access additional capital",5cbf75e9-8028-4b9f-b62f-bf05bad4b8dc,YES,NO,YES,"","Access Additional Capital is a vc firm focused on Technology investing at Seed and Series A stage.","Technology","Seed; Series A"
"Accion Ventures Lab","Accion Ventures Lab",7f3f3f5e-1818-4d33-88a9-899fd0d1fdf4,YES,NO,YES,"https://linkedin.com/in/accion-ventures-lab","Accion Ventures Lab is a vc firm focused on Social Impact, Fintech, Insuretech investing at Pre-Seed and Seed stage.","Social Impact; Fintech; Insuretech","Pre-Seed; Seed"
"Account Management","Account Management",68e731a3-045a-4bcd-8166-471cfe453e7d,YES,YES,YES,"https://linkedin.com/in/account-management","","SaaS; AI/ML","Seed; Series A"
"Account Management","Account Management",a64f1c55-6fab-41b1-a1c8-cb79d87e0d76,YES,YES,YES,"https://linkedin.com/in/account-management","","SaaS; AI/ML","Seed; Series A"
"Achal Srinivasan","Achal Srinivasan",17a053df-3e53-46ef-b948-d0307e903cb3,YES,YES,YES,"https://linkedin.com/in/achal-srinivasan","Design Collaborator","SaaS; AI/ML","Seed; Series A"
"acquire utility management","acquire utility management",2076a1d2-55f2-4ed4-b0cc-94a14c29d651,YES,YES,NO,"https://linkedin.com/in/acquire-utility-management","","Utility Management; Sustainability; Smart Grid","Seed; Series A"
"Acrobator Ventures","Acrobator Ventures",8a4ebcb9-03c9-411f-b22f-677aeec48986,YES,YES,YES,"https://linkedin.com/in/acrobator-ventures","","early stage tech companies in the CEE/CIS & EU region","Seed"
"Acronym Venture Capital","Acronym Venture Capital",d136b0a1-66aa-4983-a503-fb62cfac1776,YES,YES,NO,"https://linkedin.com/in/acronym-venture-capital","","AI; SaaS; Fintech","Seed; Series A"
"across asset management","across asset management",783c5a7b-5ce3-4510-82d6-8b3eaa8eead4,YES,YES,NO,"https://linkedin.com/in/across-asset-management","","AI; SaaS; Fintech","Seed; Series A"
"act as the (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)","act as the (AngelList wires funds directly to the company.Customer spotlightFormer founderCapital)",faa1ba26-b61d-47d6-869b-6069d874df58,YES,YES,YES,"https://linkedin.com/in/act-as-the","","SaaS; AI/ML","Seed; Series A"
"Adam Fisher","Adam Fisher",982db433-590e-4923-84c0-49adc1a24471,YES,YES,YES,"https://linkedin.com/in/adam-fisher","Partner at Bessemer Venture Partners","SaaS; Cloud; Healthcare","Seed; Series A; Series B; Growth"
"Adina Tecklu","Adina Tecklu",a19cf91b-efc1-43f3-b5c3-e4011343ab6c,YES,YES,YES,"https://linkedin.com/in/adina-tecklu","Investor at Khosla Ventures","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Adina Tecklu (Khosla Ventures)","Khosla Ventures",dd2ef02f-df65-48bf-9759-0f721346e5cc,YES,YES,NO,"https://linkedin.com/in/adina-tecklu","Adina Tecklu is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Adit Ghosh","Adit Ghosh",fcd7683b-ecbc-4923-94ab-dd2e4eb0f50d,YES,NO,YES,"https://linkedin.com/in/adit-ghosh","Adit Ghosh is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Adit Ghosh (Nea)","New Enterprise Associates",918f10ab-f191-4c0b-909d-3a2bbb94198f,YES,YES,NO,"https://linkedin.com/in/adit-ghosh","Adit Ghosh is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer; SaaS; HealthTech; FinTech","Seed; Series A; Series B; Growth"
"AdministrationMeka AsonyePartnerJosh Kopelman (Firstround)","AdministrationMeka AsonyePartnerJosh Kopelman (Firstround)",2eff3644-18c4-4b8f-9cf4-01e5cb22a3e8,YES,YES,YES,"https://linkedin.com/in/administrationmeka-asonyepartnerjosh-kopelman","","AI; SaaS; Consumer","Seed; Series A"
"Adrian Adegbesan","Adrian Adegbesan",be1b263d-4854-40be-a855-7172d879bdba,YES,YES,YES,"https://linkedin.com/in/adrian-adegbesan","Team Member at Ribbitcap","SaaS; AI/ML","Seed; Series A"
"Adrian Adegesan (Ribbit Capital)","Adrian Adegesan (Ribbit Capital)",dc99e05a-3d4f-4824-be16-11175078b3c6,YES,NO,YES,"https://linkedin.com/in/adrian-adegesan","Adrian Adegesan is an investor at Ribbit Capital focused on technology investing at seed and series_a stage.","technology","seed; series_a"
"Adrian Radu","Adrian Radu",59116b0e-61a6-4efc-86e4-4a4685d04014,YES,NO,YES,"https://linkedin.com/in/adrian-radu","Adrian Radu is a angel investor focused on DeepTech, CleanTech, AI/ML investing at Seed and Series A stage.","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Adrian Radu (Khosla Ventures)","Khosla Ventures",e24d8bf6-c522-4749-9c34-6585b1bcfd33,YES,YES,NO,"https://linkedin.com/in/adrian-radu","Adrian Radu is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Adriana Roche","Adriana Roche",c5de708a-dbc5-43dc-9d8a-b61efeb82ebe,YES,YES,YES,"https://linkedin.com/in/adriana-roche","Head of Talent at Uncorkcapital","SaaS; AI/ML","Seed; Series A"
"Adriana Roche (Uncork Capital)","Adriana Roche (Uncork Capital)",2c7861f9-4ae3-4fa4-8213-9c1b1debb8a7,YES,YES,YES,"https://linkedin.com/in/adriana-roche","Head of Talent at Uncork Capital","AI/ML; API; SaaS","Seed"
"Adrianna Ma (Index Ventures)","Index Ventures",dadc7748-1d13-47f6-8571-c31cab1ae6ca,YES,YES,NO,"https://linkedin.com/in/adrianna-ma","Adrianna Ma is a partner at Index Ventures. Backs exceptional entrepreneurs across US and Europe","SaaS; Fintech; Consumer","Seed; Series A; Series B"
"Advancit Capital","Advancit Capital",e61ec10b-2bf4-4fca-b899-ebb9f527cd4c,YES,NO,NO,"https://linkedin.com/in/advancit-capital","Advancit Capital is a vc firm focused on Media, Entertainment, Technology investing at Seed and Series A stage.","Media; Entertainment; Technology","Seed; Series A"
"Agents PEI Fund","Agents PEI Fund",e0456182-e155-47cb-8d3d-25c4d2bf1d59,YES,YES,YES,"https://linkedin.com/in/agents-pei-fund","","SaaS; AI/ML","Seed; Series A"
"Agents PEI Fund","Agents PEI Fund",1593c119-22d8-401e-8cda-894749f4acfd,YES,YES,YES,"https://linkedin.com/in/agents-pei-fund","","SaaS; AI/ML","Seed; Series A"
"AgFunder","AgFunder",8e45e754-5f0c-48f9-80ff-67519e311675,YES,YES,YES,"https://linkedin.com/in/agfunder","","Foodtech and Agtech","Seed; Series A; Series B"
"Agilitas","Agilitas",45044ba4-216d-4a93-b2ef-62befa25a793,YES,YES,YES,"https://linkedin.com/in/agilitas","PE firm with recent leadership revamp","SaaS; AI/ML","Seed; Series A"
"ago Bain Capital","ago Bain Capital",4367c495-c0fc-4c13-aaa9-1e0b5857ae3b,YES,YES,YES,"https://linkedin.com/in/ago-bain-capital","","SaaS; AI/ML","Seed; Series A"
"ago Butterfly Equity","ago Butterfly Equity",ef4491c4-adc0-49db-9722-dc779ee503fc,YES,YES,YES,"","Discovered from: https://www.pehub.com/","SaaS; AI/ML","Seed; Series A"
"ago Crosslink Capital","ago Crosslink Capital",b8435520-70f3-4563-af43-9ecba163406a,YES,NO,YES,"https://linkedin.com/in/ago-crosslink-capital","ago Crosslink Capital is a vc firm focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"ago PAI Partners","ago PAI Partners",81ecef25-797e-484c-8060-43b6aebeff8f,YES,YES,NO,"https://linkedin.com/in/ago-pai-partners","","Technology; Services; Healthcare","Seed; Series A"
"Agroecology Capital","Agroecology Capital",9a67e0ef-84d2-4a93-a411-0cb473f70467,YES,NO,YES,"https://linkedin.com/in/agroecology-capital","Agroecology Capital is a vc firm focused on Next-gen proteins, biological solutions, plant health investing at Seed stage.","Next-gen proteins; biological solutions; plant health","Seed"
"ai Alex Taussig (Lsvp)","ai Alex Taussig (Lsvp)",0a497cc7-28df-4b07-aca5-72738dbfda60,YES,YES,YES,"","Team member at Lsvp. Discovered from: https://lsvp.com/team/","SaaS; AI/ML",""
"ai Alexander Schmitt (Lsvp)","ai Alexander Schmitt (Lsvp)",9d7d654b-1575-4e29-bcae-fb36fc8ff396,YES,YES,YES,"","","SaaS; AI/ML",""
"ai Alexander Schmitt (Lsvp)","ai Alexander Schmitt (Lsvp)",d253f524-0fe4-444e-a8b2-6a02bdc1c7e4,YES,YES,YES,"","","SaaS; AI/ML",""
"ai Amish Desai (Lsvp)","ai Amish Desai (Lsvp)",802be1f7-3399-46f0-b7d4-9d4892b69fee,YES,NO,YES,"https://linkedin.com/in/ai-amish-desai","ai Amish Desai is an investor at Lsvp focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"ai Anoushka Vaswani (Lsvp)","ai Anoushka Vaswani (Lsvp)",3e51001c-245e-4f6a-834e-d77a09dff225,YES,YES,YES,"https://linkedin.com/in/ai-anoushka-vaswani","","SaaS; AI/ML","Seed; Series A"
"ai Antoine Moyroud (Lsvp)","ai Antoine Moyroud (Lsvp)",a86c4442-5d2f-4bc4-ac38-47ccd1bc24f0,YES,YES,YES,"","Team member at Lsvp. Discovered from: https://lsvp.com/team/","Technology","Seed; Series A"
"ai Barry Eggers (Lsvp)","ai Barry Eggers (Lsvp)",972024ae-fb6e-46b9-88fa-873bae9f33fd,YES,YES,YES,"https://linkedin.com/in/ai-barry-eggers","","SaaS; AI/ML","Seed; Series A"
"ai Bucky Moore (Lsvp)","ai Bucky Moore (Lsvp)",e2fdb6c8-982e-4618-a27f-589d4e2a9578,YES,YES,YES,"https://linkedin.com/in/ai-bucky-moore","","SaaS; AI/ML","Seed; Series A"
"ai David Gussarsky (Lsvp)","ai David Gussarsky (Lsvp)",9c51fadf-1f3f-4c91-b3e3-55bbce8dc64c,YES,YES,YES,"https://linkedin.com/in/ai-david-gussarsky","","SaaS; AI/ML","Seed; Series A"
"ai Faraz Fatemi (Lsvp)","ai Faraz Fatemi (Lsvp)",bb70d6a6-7b5e-4e2b-9ab4-5c89a8c3aabf,YES,YES,YES,"","","SaaS; AI/ML",""
"ai Faraz Fatemi (Lsvp)","ai Faraz Fatemi (Lsvp)",4a3335d1-0a99-45b4-a0d0-8187a053dc9b,YES,NO,YES,"","ai Faraz Fatemi is an investor at Lsvp focused on Technology investing at Seed and Series A stage.","Technology","Seed; Series A"
"ai Gaurav Gupta (Lsvp)","ai Gaurav Gupta (Lsvp)",2c017144-ef26-47ee-a32e-15d83edb6d97,YES,YES,NO,"https://linkedin.com/in/ai-gaurav-gupta","","AI; SaaS; Cloud Computing","Seed; Series A"
"ai Guru Chahal (Lsvp)","ai Guru Chahal (Lsvp)",ffc7aacf-c13e-432b-8294-d96ad768ab7e,YES,YES,NO,"https://linkedin.com/in/ai-guru-chahal","","AI; SaaS; Cloud Computing","Seed; Series A"
"AI Infrastructure Partners","AI Infrastructure Partners",34f122e4-9d95-4d02-a87e-3bab9d48a292,YES,NO,NO,"https://linkedin.com/in/ai-infrastructure-partners","AI Infrastructure Partners is a vc firm focused on AI, SaaS, Cloud Computing investing at Seed and Series A stage.","AI; SaaS; Cloud Computing","Seed; Series A"
"AI Liz Factor (Villageglobal)","AI Liz Factor (Villageglobal)",3c754eee-3dfa-4cf8-af66-9af17030ea57,YES,YES,YES,"https://linkedin.com/in/ai-liz-factor","","SaaS; AI/ML","Seed; Series A"
"ai Ravi Mhatre (Lsvp)","ai Ravi Mhatre (Lsvp)",cadf7d31-4457-44d9-879c-71630f163501,YES,YES,NO,"https://linkedin.com/in/ai-ravi-mhatre","","AI; SaaS; Fintech","Seed; Series A"
"AI StrategyBlake Wu (Nea)","New Enterprise Associates",749637e3-b5e3-4d85-9788-8013d788990e,YES,YES,NO,"https://linkedin.com/in/ai-strategyblake-wu","AI StrategyBlake Wu is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer","Seed; Series A; Series B; Growth"
"Aileen Lee","Aileen Lee",a5438552-d1a1-402d-84f1-e9aa704bf78c,YES,YES,YES,"https://linkedin.com/in/aileen-lee","Founder of Cowboy Ventures","SaaS; AI/ML","Seed; Series A"
"AiSprouts.vc","AiSprouts.vc",e58ca9c0-9830-4b23-abaa-9e221dc3edd4,YES,YES,YES,"https://linkedin.com/in/aisprouts-vc","","AI","Seed; Series A"
"AIX Ventures","AIX Ventures",2e1d5ed1-5251-482e-9c81-25b90fef8da4,YES,NO,YES,"https://linkedin.com/in/aix-ventures","Led Wearlinq's $14M Series A round","SaaS; AI/ML","Seed; Series A"
"AJ Tennant","AJ Tennant",315ef4f8-3477-4a57-ba4d-2ad2c569d341,YES,YES,YES,"https://linkedin.com/in/aj-tennant","New team member at Accel","SaaS; AI/ML","Seed; Series A"
"Alan Cohen","Alan Cohen",53c4ab39-8b3c-4642-b590-d365f5b245cb,YES,YES,YES,"https://linkedin.com/in/alan-cohen","General Partner at Dcvc","AI/ML; SaaS; Fintech; Biotechnology; Robotics","Seed"
"Alan Cohen (DCVC)","DCVC",63d71fe1-0fbd-4ab8-a142-34eaf88c69a3,YES,YES,NO,"https://linkedin.com/in/alan-cohen","Alan Cohen is a partner at DCVC. Deep tech in AI, biology, materials, energy, space","AI/ML; SaaS; Fintech; Biotechnology; Robotics; DeepTech; SpaceTech; Materials; Climate","Seed"
"Alana Palmedo","Alana Palmedo",cb258bf5-ff44-423f-8ae7-6e8832731b06,YES,NO,YES,"https://linkedin.com/in/alana-palmedo","Alana Palmedo is a angel investor focused on technology investing at seed and series_a stage.","technology","seed; series_a"
"Alantra","Alantra",e7c891f1-a1e6-458b-ad64-8fa649e96183,YES,NO,YES,"https://linkedin.com/in/alantra","Investment firm backing SPW Fabrics acquiring Italy's MITI","SaaS; AI/ML","Seed; Series A"
"Alaska Permanent","Alaska Permanent",6cab2410-6bd5-449d-9102-a6d6add46fb0,YES,YES,YES,"https://linkedin.com/in/alaska-permanent","Exploring retail capital in private equity","SaaS; AI/ML","Seed; Series A"
"Alaska Permanent Fund","Alaska Permanent Fund",bb95f3ba-437f-4af2-8196-2ef8b247e1b1,YES,YES,YES,"https://linkedin.com/in/alaska-permanent-fund","State fund discussing retail capital impact on market dynamics","SaaS; AI/ML","Seed; Series A"
"Alaska Permanent Fund Corporation","Alaska Permanent Fund Corporation",238776ff-057a-486e-ad86-d043fd632379,YES,NO,YES,"https://linkedin.com/in/alaska-permanent-fund-corporation","Alaska state sovereign wealth fund discussing retail capital dynamics","SaaS; AI/ML","Seed; Series A"
"Alex Brussell","Alex Brussell",6bbe0bbe-62bd-4cfc-8d33-54c07376d797,YES,YES,YES,"https://linkedin.com/in/alex-brussell","Principal at Forerunnerventures","SaaS; AI/ML","Seed; Series A"
"Alex Brussell (Forerunner Ventures)","Alex Brussell (Forerunner Ventures)",5b7a7df3-70f4-4b33-be7d-1a57b2d34cb3,YES,YES,YES,"https://linkedin.com/in/alex-brussell","Principal","technology","seed; series_a"
"Alex Danco","Alex Danco",3555f4b4-48cc-455e-b93e-df8d85ec912c,YES,YES,YES,"https://linkedin.com/in/alex-danco","Andreessen Horowitz partner writing on technology trends and market dynamics","SaaS; AI/ML","Seed; Series A"
"Alex Finkelstein","Alex Finkelstein",7a5007a4-a5d0-4d50-b340-4b00d5e01776,YES,YES,YES,"https://linkedin.com/in/alex-finkelstein","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Alex Finkelstein (Spark Capital)","Alex Finkelstein (Spark Capital)",d242c773-992c-4e69-9b33-4973fe9ebe4b,YES,NO,YES,"https://linkedin.com/in/alex-finkelstein","Spark Capital is a venture firm that partners with exceptional founders. Invested in Twitter, Slack, Tumblr, and Wayfair.","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Alex Immerman","Alex Immerman",50ed8704-5b28-496b-a868-e5df48ed8728,YES,YES,YES,"https://linkedin.com/in/alex-immerman","Andreessen Horowitz General Partner focusing on growth stage investments","SaaS; AI/ML","Seed; Series A"
"Alex Mayweg, Ph.D.","Alex Mayweg, Ph.D.",5a0270ee-315a-44f0-995b-5816984531fb,YES,YES,YES,"https://linkedin.com/in/alex-mayweg","Managing Director at Versantventures","SaaS; AI/ML","Seed; Series A"
"Alex Mayweg, Ph.D. (Versant Ventures)","Alex Mayweg, Ph.D. (Versant Ventures)",644ef959-81cc-4acd-a205-181c57099572,YES,YES,YES,"https://linkedin.com/in/alex-mayweg","Managing Director","SaaS; AI/ML","Seed; Series A"
"Alex Morgan","Alex Morgan",24df0b77-6b2d-4ab9-b395-2105b70fafb3,YES,YES,YES,"https://linkedin.com/in/alex-morgan","Investor at Khosla Ventures","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Alex Morgan (Khosla Ventures)","Khosla Ventures",42e266da-1d9d-4d81-8344-c887a4bf8c18,YES,YES,NO,"https://linkedin.com/in/alex-morgan","Alex Morgan is a partner at Khosla Ventures. Audacious ideas in AI, sustainability, healthcare","DeepTech; CleanTech; AI/ML; Healthcare","Seed; Series A; Series B"
"Alex Sharata","Alex Sharata",d9e26337-834e-4ac9-aceb-7a93249f5448,YES,NO,YES,"https://linkedin.com/in/alex-sharata","Alex Sharata is a angel investor focused on SaaS, AI/ML investing at Seed and Series A stage.","SaaS; AI/ML","Seed; Series A"
"Alex Sharata (Nea)","New Enterprise Associates",461eac45-cc54-46af-bef4-58357318de84,YES,YES,NO,"https://linkedin.com/in/alex-sharata","Alex Sharata is a partner at New Enterprise Associates. Stage-agnostic across technology and healthcare","Healthcare; Enterprise; Consumer","Seed; Series A; Series B; Growth"
"Alex Stamos","Alex Stamos",3a8296b6-5751-4ed7-95e8-f635feafb1a9,YES,YES,YES,"","Advisor at Felicis","Technology","Seed; Series A"
"Alex Stamos (Felicis)","Alex Stamos (Felicis)",317bb5bd-1069-4f82-83c0-898ceda78947,YES,YES,YES,"https://linkedin.com/in/alex-stamos","Advisor","SaaS; Consumer; Fintech","Seed; Series A"
"Alex Taussig","Alex Taussig",7b25c696-ca01-44ba-a7b7-ac81f271dd16,YES,YES,YES,"https://linkedin.com/in/alex-taussig","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alex Taussig (Lightspeed)","Lightspeed Venture Partners",85ef330c-9b4e-453d-95c0-670724a544c6,YES,YES,NO,"https://linkedin.com/in/alex-taussig","Partner at Lightspeed, focuses on AI, US","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alex Walter","Alex Walter",64423c23-b24f-4bae-a7a1-5402cc622fb6,YES,YES,YES,"https://linkedin.com/in/alex-walter","Head Trader, Partner at Paradigm","technology","seed; series_a"
"Alex Walterspeiel","Alex Walterspeiel",34be41fe-9f08-4b59-b46a-4a1007f2dd64,YES,YES,YES,"","Head Trader, Partner","SaaS; AI/ML",""
"Alex Walterspiegel","Alex Walterspiegel",97820c74-4016-4c4b-80c7-1663f809bcef,YES,YES,YES,"https://linkedin.com/in/alex-walterspiegel","Head Trader, Partner","SaaS; AI/ML","Seed; Series A"
"Alex Walterspriel","Alex Walterspriel",80a8cdde-023c-4c20-aa7a-0b5293f6d5ff,YES,YES,YES,"https://linkedin.com/in/alex-walterspriel","Head Trader, Partner","SaaS; AI/ML","Seed; Series A"
"Alex Waltersspiel","Alex Waltersspiel",b7a6099e-7000-4f59-a527-81d1240b4361,YES,YES,YES,"https://linkedin.com/in/alex-waltersspiel","Head Trader, Partner","SaaS; AI/ML","Seed; Series A"
"Alexa Lyons","Alexa Lyons",e3d59e04-3008-4bd9-b6fb-d9967a0b94e1,YES,YES,YES,"https://linkedin.com/in/alexa-lyons","Partner at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Alexa Lyons (Spark Capital)","Alexa Lyons (Spark Capital)",a6d7482b-df38-4313-8d6f-f8cda3f3cac5,YES,YES,YES,"https://linkedin.com/in/alexa-lyons","Operations team member at Spark Capital","SaaS; Consumer; Fintech","Seed; Series A; Series B"
"Alexander Schmitt","Alexander Schmitt",97c965e7-9948-47ad-8c39-4b19c5d55cac,YES,YES,YES,"https://linkedin.com/in/alexander-schmitt","Partner at Lightspeed","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alexander Schmitt (Lightspeed)","Lightspeed Venture Partners",f938674f-d833-49e8-939f-a6d1318e13c0,YES,YES,NO,"https://linkedin.com/in/alexander-schmitt","Partner at Lightspeed, focuses on AI, Europe","Enterprise; Consumer; Fintech","Seed; Series A; Series B"
"Alexandr Wang","Alexandr Wang",ac4694e6-f845-42db-b0ab-c5729e239f9e,YES,YES,YES,"https://linkedin.com/in/alexandr-wang","AI technology entrepreneur","SaaS; AI/ML","Seed; Series A"
